Imagen,Resolución,Score_thresh,Detections,TP,FP,FN,Precision,Recall,F1
single_batch_0,original,0.05,11,,,,,,
single_batch_0,original,0.1,11,,,,,,
single_batch_0,original,0.3,0,,,,,,
single_batch_0,medio,0.05,1,,,,,,
single_batch_0,medio,0.1,1,,,,,,
single_batch_0,medio,0.3,0,,,,,,
single_batch_0,pequeno,0.05,10,,,,,,
single_batch_0,pequeno,0.1,10,,,,,,
single_batch_0,pequeno,0.3,1,,,,,,
single_batch_1,original,0.05,7,,,,,,
single_batch_1,original,0.1,7,,,,,,
single_batch_1,original,0.3,0,,,,,,
single_batch_1,medio,0.05,3,,,,,,
single_batch_1,medio,0.1,3,,,,,,
single_batch_1,medio,0.3,0,,,,,,
single_batch_1,pequeno,0.05,4,,,,,,
single_batch_1,pequeno,0.1,4,,,,,,
single_batch_1,pequeno,0.3,0,,,,,,
single_batch_2,original,0.05,12,,,,,,
single_batch_2,original,0.1,12,,,,,,
single_batch_2,original,0.3,0,,,,,,
single_batch_2,medio,0.05,13,,,,,,
single_batch_2,medio,0.1,13,,,,,,
single_batch_2,medio,0.3,0,,,,,,
single_batch_2,pequeno,0.05,13,,,,,,
single_batch_2,pequeno,0.1,13,,,,,,
single_batch_2,pequeno,0.3,2,,,,,,
